name,star,comment
小彬彬,很差,"如坐针毡，如芒刺背，如鲠在喉。
这是听到这三如后，第一次在电影院感受。
幸亏是没花钱，我谢谢你，淘票票三百积分。"
连城易脆,推荐,"今天是成龙69岁的生日，有这样一部致敬香港龙虎武师的电影上映确实意义非凡。想来，成龙算是我观影生涯里看过作品最多的电影人了，也是我学生时代最喜欢的动作武打明星。

看到片中很多大哥过去的影像作品混剪，确实很感慨，如果我没记错的话，我第一次去影院看电影好像就是我父亲抱着我看《我是谁》，票价只有5块钱，是礼堂式的电影院，一转眼都二十多年了，更不可思议的是，我竟然就在2天前《龙马精神》点映亲眼见到了大哥，站在大哥身后完成大合影。

这部电影可以说浓缩了成龙的大半生，如果从小就看成龙电影长大的影迷估计都会很触动吧，最近昆汀和伊斯特伍德都公布了自己生涯的最后一部电影计划，但是我希望成龙可以一直拍下去，甚至可以重新为动作喜剧找到新的表达方式。"
奥特曼,推荐,成龙的印第安造型秒回《我是谁》，在片场大哥看的是《新警察故事》剧本、还有拍摄《龙兄虎弟》时最严重的一次受伤，以及蒙太奇闪回的不用替身动作画面…这部就像刘德华的歌曲”十七岁“一样，属于成龙对自己演员生涯的一次回顾与情怀致敬。“不真摔，观众看什么…致敬就要像以前一模一样：来真的！” 做这件事是择一世、终一生的选择，他们的时代永远没有过去。
谋杀游戏机,推荐,与之前的纪录片《龙虎武师》形成娱乐商业片层面的映照，不约而同重现了诸多影史动作戏名场面，像成龙说的，这不是关于他一个人的电影，而是致敬曾经所有的龙虎武师。也许在今天的年轻观众看来，他们的玩命不可理解也没有必要，但当年正是靠他们拿命去拼，才拼出了香港功夫片的辉煌年代。成龙马上70岁了，那个年代再也不会回来了，这部电影算是一个喜感+伤感的作结吧。赤兔好漂亮，表演也很丰富，驯马师厉害。
小艮,推荐,作为动作片迷，数度哽咽、落泪。老罗戴帽子致敬《奇迹》；印第安人造型致敬《我是谁》；误闯入舞台帮助孩子们练翻跟斗又呼应七小福练功经历；成龙属马，在《上海正午》时与马有过很多对手戏，所以用马作为关键元素来“重现”他作为龙虎武师时所经历的种种酸甜苦辣。本片虽然在剧本上不算规整严密，但喜剧段落与情感戏也是奏效的，而且情怀满溢。看得挺满足的。
壹安²,推荐,我又TM看哭了，你这让每一个看成龙电影长大的孩子哪有不哭的！
汝玉,力荐,一张电影票带着青春流浪回到从前，《龙马精神》致敬成龙为电影付出的汗水，成龙的每一部电影都看过，每个回顾的画面都有无尽的回忆。时光会老，我们不忘。
磕学家,较差,赤兔和成龙的打戏好评，如果仅仅只是一个功夫喜剧片我绝对五星，偏偏导演想不开要加什么乱七八糟、自认为煽情的亲情戏，搞得不伦不类。最想骂的就是含存量过高，咱就是直接一个快跑！！！抛去其他的不说，究竟是谁教lhc这么做作的演戏和讲话的?还说像章子怡，人章子怡演戏的时候身上那种孤傲与坚韧劲哪有这么装?
沉莫520,力荐,大哥永远是大哥，一幕幕致敬经典的镜头一一闪过，不禁让人潸然泪下，龙虎武师不易，致敬龙虎武师
凯文·史派东,较差,我的天啊‼️郎月婷都演刘浩存的妈了，为啥俩人只要在一块儿，刘浩存的头就小了一圈儿，缩头术笑死我了。
momo天使,很差,看过最难看的一部电影没有之一，刘浩存的演技还能再烂点吗？？成龙大哥也只能卖情怀了，剧本稀烂！！！
卡夫卡的小屋,推荐,不仅在讲老罗也是在讲成龙这六十年的电影人生，那些用自己血汗泪拼搏出来的片段在电影中展现的时候，真的很感动
叶湘伦,很差,我不否认Jackie Chan在全球电影史的地位，也不否认他对于把中国功夫文化向全球传播的重大贡献，曾经我也非常非常喜欢成龙，是我的偶像，容不得别人说他半点坏话。但成龙近年来的作品确实除了英伦对决没一部能看的，这是事实，这电影也是真的不行啊，手机上看看就得了，不值得花钱去电影院看。
好运连绵伴HS行,力荐,电影的情怀只会让我共情，看完真的想为那个时代努力的武打演员鼓鼓掌，还有我们赤兔真的太懂事了，好喜欢
章子怡,推荐,大哥老了，但还是你大哥！
bird,很差,成龙大哥生日快乐！还是退休吧！好的演员谢幕应当如初始般华丽，而不是只会自我感动。本来它可以拍的足够有趣和有情怀，结果净剩下廉价煽情了。
大奇特(Grinch),很差,精神我敬仰，电影真不行。请先学习下《摔跤王》那类片是如何描写父女和解的，再谈精神吧。父女关系是编剧一厢情愿妥协于剧情——和解快如风，完全不像多年没有往来，之后又变脸如翻书，全部配合剧情需要。情节上用各种彩蛋生硬拼接，只有片段没有结构。应了那句歌词“把握生命里的每一次感动”，而这些感动多数是说出来的，不是靠情感传递的，且不是为观众带来感动，而是满满的自我感动。我们总能在一些电影的片尾看到“本片没有小动物受伤”的字样，这部却一再用爆破、坠崖等等，告诉你中国电影人对动物受伤的不屑一顾，虽是借物喻人，却也不该是这种冷漠的态度。
银敏悲,较差,成龙的粉丝电影，也就结尾煽情了一把，前边都是瞎胡闹，根本就不像电影，大哥真的有认真反思自己为啥从最好变最烂吗？
深邃,很差,造句：1. 一想到能给这片打星了，我就龙马精神起来。2. 龙马精神早上好，我是李志。
似越,还行,看的是超前点映 都说戏如人生 看电影的时候 数次被成龙于马儿于女儿的情感感动到落泪 but戏外成龙是如何处理小龙女事件的大众都知道 对照现实又觉得有些许讽刺 刘浩存怎么哪儿都有你 厌恶至极！最后还是要向那些曾经为电影事业一直默默付出的人们致敬。
兵部左侍郎千夏,还行,"刘浩存这么多年了演技还是那么差，整张脸就只有嘴巴动，没表情上的变化，尤其是两个黑眼珠，看着挺大，但是真的无神，感觉像是假的，或者干脆说就是尸体脸，跟博子哥简直一对，她的配音也跟s一样难听，配音老师也无奈啊，为了配合这僵尸脸，整部下来声音都是平淡如水没有一点感情，耳朵疼，眼睛疼，还那么多镜头怼脸，郭麒麟也油得一笔，但好歹能演出个人样，这是给了多少啊
说回剧情，巨讨厌这种亲子煽情剧情，煽情片段插入太多，而且突兀，刚刚笑得挺欢，立马煽情，难受的一笔。尤其是中期两个人突然就矛盾然后紧接着就是受伤，然后就是和好，台词很奇怪，这一段太突兀了，不爽。我就是去看经典动作戏的
好多致敬龙叔自己作品的彩蛋，诸如《你是谁》《醉拳》后面直接不装了，经典镜头都放出来了，倒不如说是致敬龙叔吧，当年真的摔残了也没今天了
"
779103178,很差,我后悔我看的这部电影，尴尬，抠脚，玩手机。
小植野,很差,前半段像是短视频各种抖机灵小点子的缺点放大，各种剧情上的缝合看得尴尬抠脚，一个给成龙量身定制的剧本，像是平行宇宙的另一个他，结果在这个宇宙里还要满足一下自己做父亲的心理，代入了女婿一下对未来感到焦虑了。而剧情上就是想一段是一段的片段合集，主线官司打得莫名其妙，父女感情线写得一团浆糊，要打官司了才想起女儿，这不就是活脱脱的有事钟无艳，无事夏迎春。后面还要拿录像硬煽情往主题靠龙虎武师，想做得像情怀致敬，可事实就是消费形象。到后面勉强有半小时能看，本来想打到两星了，结果最后一段又梦回《人生大事》最没必要的最后半小时，就像在这来回拉扯硬拖时长。
罗里吧嗦,推荐,有种青春回归的感觉，电影里有很多彩蛋和致敬的镜头，印象很深的就是老罗让乃华练扎马步，这不是醉拳吗23333
谷风一幕,很差,剧本太差了，成龙致敬自己可以，打不动就在剧情上下下功夫，不能啥都没有。
玩儿少,还行,又名《忠马赤兔物语》，这片子主打的就是感情牌、煽情戏，父女的感情戏、人马的感情戏…如果能在龙虎武师的精神上、对龙叔实拍动作戏的敬业的致敬上多下功夫，会提高不止一个档次。
许逊,很差,把人的情感和行为强加在动物身上挺恶心的
dustill,很差,成龙在电影里以一个这样的身份承认自己甚至是武行的年迈与式微，其实挺不容易的，奈何所有的细节都设计得太潦草了
嘟嘟熊之父,很差,每组镜头、每段配乐都在讨要一部分观众的善心，同时意味着狠踩另一部分观众的伤口。表面上映照现实，事实上丝毫不关心现实。缺少道德的电影。
健忘的煤柱,还行,"3.5，成龙ip大联欢，其实有很多可玩的点，但剧本有点拉……考虑到大哥一把岁数还在打值一个4分

但是该死啊眼泪为什么停不住……为什么把真实的武师故事插到这么怪的剧本……"
申报记者何书桓,较差,别的不说，什么样的家庭实习生和大三生就开上了路虎，不能因为赞助商是路虎就全片都是路虎吧。母亲不在了，女儿也不和父亲来往，那请问她的经济来源是什么，电影也不交代，很多桥段都太过儿戏。
青岛啤酒,较差,一时之间分辨不出，剧情、成龙演父女情还是存子的演技，哪个更尴尬。
托尼·王大拿,较差,港片曾经的辉煌与当下的式微，武行今昔的演变，香港电影人的北上，成龙自身的演艺经历，乃至横店作为“角色”所自带的解构意味，诸上元素就足以构成一部高度凝练又层次丰富的元化电影，又何必要使用那些粗糙打磨粗劣执行的情感戏？看上去不过是编导自以为是的一厢情愿以及老年房仕龙的自我感动罢了。
MinamiFans,较差,成龙69岁生日打卡。看成龙演成龙，有做成元电影的潜质，创作者为了追求商业和娱乐化，也没必要弄得这么俗吧。。本质上还是过时的电影。但一想想他的电影看一部就少一部，不免得还是有些感伤的。
阿孝咕,很差,一部为成龙量身定做的横漂动作片，作为一个红极一时的龙虎武师，一上场就掉链子？过了一会你的马来劲了，就把别的龙虎武师赶走？啰啰嗦嗦半天说要真跳，结果最后怂了就拍拍屁股走人？这部片子不仅是对观众智商的侮辱，也是对所有敬业的龙虎武师的侮辱！存子每次出场都换一套新衣服，真的水灵漂亮，可惜演技还没一匹马好，要是不开口说话就好了。一朝为坐骑，生死不由己，赤兔应该很后悔站起来吧~这杨子什么来头啊？能请到宫崎骏来客串~
酱爆桑桑子,很差,【1】哎呀我嘞个去幽默的呀。非常符合我对这个电影的所有期待，因为它模糊了致敬和倚老卖老的情怀割韭菜。同样讲人与动物的关系，隔壁《忠犬八公》润物细无声，而这部只有一口一个的尬喊口号和硬扣题的龙虎武师精神。电影里的所有爱女儿，爱电影，职业精神东西刻画的越真，成片质量和现实之外就觉得假的廉价。成龙在电影里缅怀致敬自己，杨紫琼在电影里放弃过去，一个冲出去，一个困住自己。观众从来不欠成龙，星爷电影票，毕竟还人情一部《急先锋》一部《新喜剧之王》就够了。（一分给那些煽情的片段，因为确实被煽到了）
薛天华,还行,"成龙对《警察故事1》、《警察故事3》、《A计划》、《我是谁》、《龙兄虎弟》、《醉拳2》……时期自己的追忆，所以对煽情没有任何克制。
电影在吴京那拍完戏后，就该结束了，后面都是无节制的煽情了。
刘浩存是很美，但演技也是很呆。"
见与不见,还行,剧情无聊，成龙怀旧多了就尬，父女戏也平淡，但马的表演一流
AaronKing,很差,都住院了还有空看光盘？？？
鸡排饭加个蛋,较差,首映日早场安排给到龙虎武师足够的尊重，不过浩存妹妹如果你的台词再没长进的话以后真的会不如一匹马哦。
yukicheung,较差,除了成龙致敬自己的着装，别的毫无看点。
Huan,很差,贩卖情怀的电影，龙叔  70岁还在捞钱 
Roland痕,推荐,看老罗试穿小宝跟男友送的衣服觉得特别感慨（这是小彩蛋吗？哈哈），不由得想起电视机里的花絮每一个片段都是他真真实实地摔出来的，冒着生命危险的疼痛与伤痕才换来了那么多经典优秀的作品，顿觉得肃然起敬，大哥必须支持
开平彭于晏,很差,【34】好“硬”的一部片子，我是说它节奏一塌糊涂，配乐使劲儿煽情，父女情强行修复，部分笑料低俗，矛盾升级突兀，别的片子多线叙事是在织毛衣，你的线组合在一起毫无化学反应，而是在打死结……存子的演技无关她的黑料，表现的还不如刚出道那会儿。众星云集拍好了叫群星荟萃，拍烂了叫人头堆砌；龙叔的传奇过往用好了是锦上添花，你滥用那叫场外求助，很不幸，都是后者；值得一提且只有一提的是打戏真的很亮眼。唉，以为快要结束了结果发现还有半小时，真的很难过。@龙马精神
不是momo,很差,全场马演的最好 在电影院如坐针毡 不好看（免费的票）
达令街27号,很差,刘浩存这颗老鼠屎，大年初一不想看到，资本强行喂屎么？吃着人血馒头，残疾小女孩在家看到电视上伤害她的凶手的女儿尽情的舞蹈？恶心
wsind,很差,请问一下，刘浩存能不能不演电影？另外，哪怕她呢，跟同组的马学一学，也好啊！马怎么演的比人好这么多？真让人匪夷所思！
帽盔山单打王,很差,全片像是一个个消费老面孔的短视频集合，这五分钟走煽情了，那五分钟又搞情怀了，而故事推进突兀，情感铺垫为零，马是有那么一点隐喻，但也无法和父女或职业产生什么有效联系，对替身演员致敬？对不起，你和你的马“一战成名”，其他被一脚踢到一边的替身群演呢？所有感动来自于你看到的港片熟悉面孔，看到了几段以往成龙电影片尾的特技动作花絮，所以没有这个电影你一样感动，像极了落魄演员直播带货，而这竟然是举世闻名的业界大哥拿到的剧本，想改变老牌动作演员的现状？史泰龙、施瓦辛格打不动都要在电视剧第二春了，只能说行业主流理念差太远了
